home,away,home_goals,away_goals,played_on,neutral,competition_weight
Mexico,Japan,0,2,2024-09-01,0,0.8
Germany,Senegal,2,1,2024-09-02,0,0.8
England,Mexico,3,0,2024-09-02,0,0.8
France,Canada,5,1,2024-09-02,0,0.8
Japan,Australia,4,1,2024-09-02,0,0.8
Mexico,Senegal,2,0,2024-09-02,0,0.8
Italy,Belgium,1,1,2024-09-02,0,0.8
Canada,Germany,1,0,2024-09-02,1,1.0
Canada,Germany,1,4,2024-09-03,0,0.8
Ghana,Croatia,2,0,2024-09-03,0,0.8
USA,Morocco,3,1,2024-09-03,1,1.0
Canada,Croatia,0,0,2024-09-03,0,0.8
Poland,Japan,0,1,2024-09-03,0,0.8
Senegal,England,0,1,2024-09-03,1,1.0
Senegal,Croatia,0,1,2024-09-03,1,1.0
Croatia,Brazil,1,2,2024-09-04,1,1.0
France,Netherlands,4,1,2024-09-04,0,0.8
Canada,Ghana,3,2,2024-09-04,0,0.8
Japan,Spain,1,1,2024-09-04,0,0.8
Japan,South Korea,0,0,2024-09-04,0,0.8
Ghana,Portugal,0,4,2024-09-04,0,0.8
Japan,Morocco,1,2,2024-09-04,0,0.8
Uruguay,Poland,1,1,2024-09-04,0,0.8
Brazil,Argentina,0,0,2024-09-04,1,1.0
Uruguay,Mexico,3,0,2024-09-05,1,1.0
Mexico,South Korea,0,1,2024-09-05,1,1.0
USA,Italy,1,2,2024-09-05,0,0.8
Morocco,Argentina,1,0,2024-09-05,1,1.0
Poland,Uruguay,0,3,2024-09-05,0,0.8
Canada,Senegal,3,5,2024-09-05,1,1.0
Australia,South Korea,3,1,2024-09-05,0,0.8
Portugal,Switzerland,2,0,2024-09-06,0,0.8
Mexico,Denmark,3,2,2024-09-06,0,0.8
Senegal,France,0,0,2024-09-06,0,0.8
Croatia,Ghana,3,0,2024-09-07,0,0.8
Ghana,England,0,5,2024-09-07,0,0.8
Japan,USA,2,0,2024-09-07,1,1.0
Ghana,Italy,2,1,2024-09-07,0,0.8
South Korea,Brazil,0,1,2024-09-08,0,0.8
Switzerland,Portugal,1,1,2024-09-08,1,1.0
Morocco,Ghana,0,0,2024-09-08,0,0.8
Mexico,Poland,1,1,2024-09-08,0,0.8
Ghana,Denmark,2,2,2024-09-08,0,0.8
Switzerland,Denmark,1,0,2024-09-08,0,0.8
Ghana,France,0,3,2024-09-09,1,1.0
Italy,France,2,3,2024-09-09,1,1.0
South Korea,Poland,1,4,2024-09-09,1,1.0
Denmark,Senegal,4,0,2024-09-09,0,0.8
Canada,Morocco,0,3,2024-09-09,0,0.8
Netherlands,Denmark,1,1,2024-09-09,1,1.0
Australia,Portugal,0,1,2024-09-10,1,1.0
Netherlands,Japan,1,0,2024-09-10,0,0.8
Argentina,Croatia,2,2,2024-09-10,0,0.8
Switzerland,Portugal,0,2,2024-09-10,0,0.8
Denmark,Morocco,1,0,2024-09-10,0,0.8
Argentina,Morocco,1,1,2024-09-11,0,0.8
South Korea,Denmark,1,1,2024-09-11,1,1.0
South Korea,Morocco,0,1,2024-09-11,0,0.8
Portugal,Senegal,1,0,2024-09-12,1,1.0
South Korea,Mexico,2,1,2024-09-12,1,1.0
Poland,Italy,0,2,2024-09-12,0,0.8
Brazil,South Korea,2,2,2024-09-12,1,1.0
USA,Germany,2,1,2024-09-12,1,1.0
Argentina,Brazil,1,0,2024-09-13,0,0.8
Brazil,Portugal,4,0,2024-09-13,1,1.0
Spain,Italy,1,2,2024-09-13,0,0.8
Belgium,Poland,5,1,2024-09-13,0,0.8
France,Portugal,2,1,2024-09-13,1,1.0
England,Japan,0,1,2024-09-13,0,0.8
Switzerland,Canada,2,2,2024-09-14,0,0.8
Japan,Australia,3,2,2024-09-14,0,0.8
Italy,South Korea,2,1,2024-09-14,0,0.8
Germany,South Korea,4,0,2024-09-14,0,0.8
England,USA,0,1,2024-09-14,1,1.0
Belgium,Germany,0,0,2024-09-14,0,0.8
Poland,Australia,0,1,2024-09-14,0,0.8
Netherlands,Belgium,1,0,2024-09-14,0,0.8
Belgium,England,1,2,2024-09-15,1,1.0
Canada,Brazil,2,2,2024-09-15,0,0.8
Ghana,Spain,0,5,2024-09-15,1,1.0
South Korea,Belgium,1,1,2024-09-15,0,0.8
Germany,Uruguay,1,1,2024-09-15,0,0.8
Mexico,Uruguay,2,0,2024-09-15,0,0.8
Uruguay,Belgium,0,3,2024-09-15,0,0.8
Japan,England,1,2,2024-09-16,0,0.8
Poland,Japan,2,1,2024-09-16,1,1.0
Netherlands,Canada,5,0,2024-09-16,0,0.8
Brazil,Italy,2,2,2024-09-16,0,0.8
Belgium,Canada,1,0,2024-09-16,1,1.0
Germany,Ghana,1,1,2024-09-16,1,1.0
Poland,South Korea,0,0,2024-09-17,1,1.0
Mexico,Japan,0,2,2024-09-17,0,0.8
France,England,1,1,2024-09-17,0,0.8
Senegal,Denmark,1,4,2024-09-17,0,0.8
Poland,Senegal,2,0,2024-09-17,1,1.0
Denmark,Argentina,0,2,2024-09-17,1,1.0
Uruguay,Switzerland,1,3,2024-09-17,0,0.8
Brazil,Belgium,3,1,2024-09-17,1,1.0
USA,England,2,3,2024-09-17,0,0.8
Netherlands,Belgium,2,3,2024-09-18,0,0.8
England,Belgium,3,1,2024-09-18,0,0.8
South Korea,Senegal,1,0,2024-09-18,0,0.8
Portugal,Switzerland,2,0,2024-09-18,0,0.8
Poland,Brazil,1,5,2024-09-18,0,0.8
Argentina,Morocco,1,0,2024-09-18,0,0.8
Portugal,USA,2,0,2024-09-18,0,0.8
Senegal,Belgium,0,0,2024-09-19,0,0.8
Denmark,Netherlands,1,0,2024-09-19,1,1.0
Ghana,Senegal,1,3,2024-09-19,0,0.8
Australia,France,1,1,2024-09-19,1,1.0
Belgium,Ghana,2,0,2024-09-19,0,0.8
Ghana,Canada,1,2,2024-09-19,1,1.0
Belgium,Denmark,2,0,2024-09-20,1,1.0
South Korea,Belgium,2,2,2024-09-20,0,0.8
Senegal,Argentina,0,1,2024-09-20,1,1.0
Croatia,Switzerland,3,0,2024-09-20,1,1.0
Uruguay,Brazil,1,1,2024-09-21,0,0.8
England,Switzerland,1,1,2024-09-21,0,0.8
Italy,Japan,1,1,2024-09-21,0,0.8
South Korea,Poland,2,4,2024-09-21,0,0.8
South Korea,Netherlands,2,0,2024-09-21,0,0.8
Netherlands,France,0,0,2024-09-22,0,0.8
England,France,3,0,2024-09-22,0,0.8
Switzerland,Netherlands,1,4,2024-09-23,0,0.8
Morocco,Ghana,3,0,2024-09-23,0,0.8
Italy,Ghana,1,1,2024-09-23,0,0.8
Spain,Uruguay,1,0,2024-09-23,1,1.0
Argentina,Croatia,2,0,2024-09-24,1,1.0
Poland,USA,0,0,2024-09-24,0,0.8
Italy,Australia,2,0,2024-09-24,1,1.0
Netherlands,Argentina,1,1,2024-09-24,0,0.8
Italy,Brazil,0,0,2024-09-25,1,1.0
Spain,Poland,0,0,2024-09-25,1,1.0
Poland,Switzerland,1,1,2024-09-25,0,0.8
France,Poland,3,1,2024-09-25,1,1.0
Mexico,Portugal,1,1,2024-09-26,0,0.8
USA,Ghana,2,0,2024-09-26,1,1.0
Switzerland,Australia,0,1,2024-09-26,0,0.8
Italy,Belgium,1,1,2024-09-27,0,0.8
Spain,Germany,1,0,2024-09-27,0,0.8
Ghana,Canada,0,0,2024-09-27,0,0.8
Spain,Australia,2,1,2024-09-27,1,1.0
Uruguay,Ghana,1,0,2024-09-27,0,0.8
Ghana,Croatia,1,4,2024-09-27,0,0.8
Italy,Spain,0,2,2024-09-28,0,0.8
Ghana,Senegal,3,2,2024-09-28,0,0.8
England,Netherlands,0,1,2024-09-28,0,0.8
Denmark,Switzerland,0,2,2024-09-28,1,1.0
England,Netherlands,2,2,2024-09-28,0,0.8
Brazil,Senegal,2,0,2024-09-28,0,0.8
Ghana,England,0,1,2024-09-28,0,0.8
Senegal,Brazil,1,4,2024-09-28,0,0.8
Italy,Croatia,2,2,2024-09-29,0,0.8
Uruguay,Switzerland,4,2,2024-09-29,0,0.8
Uruguay,Portugal,0,4,2024-09-29,0,0.8
Belgium,Spain,2,2,2024-09-29,0,0.8
Brazil,Uruguay,0,0,2024-09-30,1,1.0
Mexico,Ghana,1,5,2024-09-30,0,0.8
Ghana,Denmark,1,0,2024-09-30,0,0.8
Croatia,Italy,3,3,2024-09-30,0,0.8
Brazil,Germany,1,1,2024-09-30,1,1.0
Germany,Switzerland,0,2,2024-09-30,1,1.0
Poland,Ghana,5,1,2024-10-01,0,0.8
USA,Canada,1,3,2024-10-01,1,1.0
Canada,France,1,1,2024-10-01,0,0.8
Morocco,Senegal,0,1,2024-10-01,0,0.8
Uruguay,Canada,4,2,2024-10-01,0,0.8
Italy,Germany,0,0,2024-10-01,0,0.8
USA,Argentina,2,3,2024-10-02,0,0.8
Morocco,Portugal,0,0,2024-10-02,1,1.0
Denmark,Australia,0,1,2024-10-02,1,1.0
Argentina,Poland,5,3,2024-10-02,0,0.8
Belgium,Denmark,1,1,2024-10-02,1,1.0
Spain,Brazil,0,2,2024-10-02,0,0.8
Belgium,Spain,0,2,2024-10-02,1,1.0
Australia,Senegal,1,2,2024-10-02,1,1.0
Argentina,Portugal,1,1,2024-10-02,1,1.0
France,USA,0,1,2024-10-02,0,0.8
Canada,Netherlands,0,4,2024-10-03,0,0.8
Uruguay,Morocco,0,0,2024-10-03,1,1.0
Morocco,Portugal,0,0,2024-10-03,0,0.8
USA,Poland,1,1,2024-10-03,0,0.8
South Korea,Senegal,1,1,2024-10-03,0,0.8
Japan,Denmark,1,2,2024-10-03,0,0.8
Switzerland,Argentina,1,2,2024-10-04,0,0.8
Poland,Argentina,0,2,2024-10-04,1,1.0
Canada,Morocco,1,1,2024-10-04,0,0.8
South Korea,Senegal,4,0,2024-10-04,0,0.8
Denmark,Mexico,1,1,2024-10-05,1,1.0
USA,Uruguay,2,2,2024-10-05,1,1.0
Australia,Portugal,2,1,2024-10-05,0,0.8
Spain,Brazil,2,0,2024-10-05,0,0.8
Croatia,USA,0,1,2024-10-06,0,0.8
USA,Morocco,2,0,2024-10-06,0,0.8
Denmark,USA,2,2,2024-10-06,0,0.8
Netherlands,Spain,0,2,2024-10-07,0,0.8
Canada,USA,1,1,2024-10-07,1,1.0
Brazil,Switzerland,2,0,2024-10-07,0,0.8
Poland,Belgium,1,1,2024-10-07,0,0.8
Argentina,Ghana,1,1,2024-10-07,1,1.0
Mexico,Uruguay,0,1,2024-10-08,1,1.0
France,Germany,0,0,2024-10-08,0,0.8
Senegal,Belgium,2,0,2024-10-08,0,0.8
Spain,South Korea,2,0,2024-10-08,0,0.8
England,Belgium,1,0,2024-10-08,1,1.0
France,Senegal,5,1,2024-10-08,0,0.8
Senegal,Croatia,1,2,2024-10-08,0,0.8
France,Belgium,2,1,2024-10-09,1,1.0
Netherlands,South Korea,0,0,2024-10-09,0,0.8
Japan,Canada,2,2,2024-10-09,1,1.0
Australia,Uruguay,1,2,2024-10-09,0,0.8
Brazil,Argentina,2,0,2024-10-09,0,0.8
Japan,Germany,1,4,2024-10-09,0,0.8
Mexico,Argentina,3,3,2024-10-10,0,0.8
Senegal,Morocco,1,2,2024-10-10,1,1.0
Denmark,Mexico,1,3,2024-10-10,0,0.8
South Korea,Denmark,1,1,2024-10-10,0,0.8
Uruguay,Belgium,2,1,2024-10-10,0,0.8
France,Mexico,2,0,2024-10-10,0,0.8
Poland,Netherlands,1,0,2024-10-11,0,0.8
Japan,Portugal,0,1,2024-10-11,1,1.0
France,Denmark,1,1,2024-10-12,1,1.0
Australia,France,0,1,2024-10-12,0,0.8
USA,England,0,2,2024-10-12,0,0.8
Uruguay,Denmark,1,2,2024-10-12,0,0.8
Portugal,Spain,2,1,2024-10-13,0,0.8
Poland,Mexico,0,2,2024-10-13,1,1.0
Denmark,Senegal,0,0,2024-10-14,0,0.8
England,South Korea,1,1,2024-10-14,0,0.8
South Korea,Belgium,3,4,2024-10-14,0,0.8
Italy,Denmark,2,1,2024-10-14,0,0.8
Poland,Netherlands,0,2,2024-10-14,1,1.0
England,Switzerland,2,1,2024-10-14,0,0.8
Brazil,Uruguay,0,1,2024-10-14,0,0.8
USA,Switzerland,2,0,2024-10-14,0,0.8
Croatia,Japan,0,2,2024-10-15,0,0.8
Germany,Belgium,1,3,2024-10-15,0,0.8
South Korea,Switzerland,1,1,2024-10-15,1,1.0
Switzerland,Portugal,0,0,2024-10-16,0,0.8
South Korea,Brazil,1,3,2024-10-16,1,1.0
Denmark,Uruguay,2,0,2024-10-16,0,0.8
Uruguay,Portugal,0,0,2024-10-17,1,1.0
South Korea,USA,2,1,2024-10-17,1,1.0
Belgium,Netherlands,1,0,2024-10-17,0,0.8
Netherlands,Mexico,4,0,2024-10-17,1,1.0
Spain,Poland,1,0,2024-10-17,1,1.0
South Korea,Canada,5,1,2024-10-17,0,0.8
Denmark,Portugal,2,4,2024-10-18,0,0.8
Italy,Senegal,0,1,2024-10-18,0,0.8
Germany,Canada,3,0,2024-10-19,0,0.8
Brazil,Japan,2,0,2024-10-20,0,0.8
Belgium,France,2,0,2024-10-20,0,0.8
Belgium,England,1,0,2024-10-20,0,0.8
Japan,South Korea,0,2,2024-10-21,0,0.8
Denmark,Brazil,0,1,2024-10-21,0,0.8
Argentina,Australia,3,0,2024-10-22,0,0.8
Mexico,Belgium,2,2,2024-10-22,1,1.0
Denmark,Canada,1,1,2024-10-22,1,1.0
Uruguay,Denmark,1,4,2024-10-22,1,1.0
Uruguay,Belgium,0,2,2024-10-22,1,1.0
Mexico,Poland,0,1,2024-10-22,1,1.0
Japan,Portugal,2,2,2024-10-23,1,1.0
South Korea,Poland,1,1,2024-10-23,1,1.0
Uruguay,Morocco,4,0,2024-10-23,0,0.8
Switzerland,Netherlands,0,0,2024-10-23,0,0.8
Uruguay,Spain,3,2,2024-10-24,0,0.8
Portugal,Argentina,1,0,2024-10-25,0,0.8
Australia,Uruguay,1,0,2024-10-25,0,0.8
England,Poland,0,1,2024-10-25,1,1.0
Australia,Belgium,1,2,2024-10-25,1,1.0
Italy,Uruguay,0,2,2024-10-25,0,0.8
Netherlands,Australia,0,0,2024-10-26,0,0.8
Japan,Portugal,1,0,2024-10-27,0,0.8
Croatia,Ghana,3,1,2024-10-27,0,0.8
Switzerland,Netherlands,0,4,2024-10-27,0,0.8
Poland,Spain,2,3,2024-10-27,0,0.8
England,Ghana,3,2,2024-10-27,1,1.0
France,Denmark,4,0,2024-10-27,0,0.8
Italy,South Korea,2,0,2024-10-27,0,0.8
Portugal,Argentina,1,0,2024-10-27,1,1.0
Belgium,Denmark,2,1,2024-10-27,1,1.0
Denmark,Senegal,3,2,2024-10-28,0,0.8
Senegal,Poland,3,3,2024-10-28,0,0.8
Switzerland,Germany,0,0,2024-10-28,0,0.8
Netherlands,Portugal,1,1,2024-10-28,0,0.8
South Korea,Ghana,3,1,2024-10-28,1,1.0
Brazil,Netherlands,0,2,2024-10-28,0,0.8
Mexico,Spain,0,4,2024-10-28,0,0.8
England,USA,2,1,2024-10-28,0,0.8
Switzerland,USA,0,1,2024-10-29,1,1.0
Spain,France,2,2,2024-10-29,0,0.8
Mexico,England,1,2,2024-10-29,0,0.8
Japan,Morocco,1,0,2024-10-29,0,0.8
Japan,Poland,0,1,2024-10-29,1,1.0
Belgium,Argentina,0,0,2024-10-30,0,0.8
France,Mexico,0,0,2024-10-30,1,1.0
Australia,Morocco,0,0,2024-10-30,0,0.8
Italy,USA,2,1,2024-10-30,0,0.8
Germany,Ghana,1,2,2024-10-30,0,0.8
South Korea,Ghana,3,0,2024-10-30,0,0.8
Belgium,Netherlands,1,2,2024-10-30,1,1.0
France,Ghana,4,1,2024-10-31,0,0.8
France,England,1,0,2024-10-31,0,0.8
Denmark,Spain,5,1,2024-11-01,1,1.0
Morocco,USA,1,1,2024-11-01,1,1.0
Switzerland,Netherlands,1,1,2024-11-01,0,0.8
Senegal,Italy,0,0,2024-11-01,1,1.0
France,Australia,5,0,2024-11-01,0,0.8
Denmark,Japan,3,0,2024-11-02,1,1.0
South Korea,Belgium,0,0,2024-11-02,0,0.8
Denmark,Italy,1,1,2024-11-02,0,0.8
Denmark,France,0,2,2024-11-03,0,0.8
Germany,Senegal,1,0,2024-11-03,1,1.0
Netherlands,France,1,1,2024-11-03,1,1.0
Canada,Brazil,0,2,2024-11-03,0,0.8
Germany,Brazil,2,4,2024-11-04,0,0.8
Uruguay,Mexico,3,1,2024-11-04,0,0.8
Argentina,Ghana,3,0,2024-11-04,1,1.0
South Korea,Morocco,3,2,2024-11-05,0,0.8
Croatia,Japan,2,2,2024-11-05,0,0.8
Croatia,Denmark,3,0,2024-11-05,0,0.8
England,Switzerland,1,2,2024-11-06,1,1.0
Spain,Denmark,0,1,2024-11-06,0,0.8
Spain,Portugal,1,0,2024-11-06,0,0.8
Netherlands,Italy,1,2,2024-11-06,0,0.8
France,Netherlands,1,0,2024-11-06,0,0.8
South Korea,Croatia,2,2,2024-11-06,0,0.8
Morocco,Senegal,3,1,2024-11-07,0,0.8
Poland,Denmark,2,3,2024-11-07,1,1.0
Italy,Poland,4,0,2024-11-07,0,0.8
Canada,Germany,0,2,2024-11-07,0,0.8
Canada,Germany,1,4,2024-11-07,0,0.8
Senegal,Brazil,5,2,2024-11-08,0,0.8
Belgium,Croatia,2,0,2024-11-08,0,0.8
Portugal,USA,2,0,2024-11-08,0,0.8
Belgium,Morocco,3,1,2024-11-08,1,1.0
Italy,Senegal,1,0,2024-11-09,0,0.8
Australia,Croatia,0,2,2024-11-09,0,0.8
Poland,South Korea,1,0,2024-11-09,1,1.0
Canada,Brazil,0,4,2024-11-09,0,0.8
England,Ghana,5,0,2024-11-09,0,0.8
Senegal,Spain,2,1,2024-11-10,0,0.8
Mexico,Ghana,1,0,2024-11-10,0,0.8
Brazil,Ghana,2,0,2024-11-10,1,1.0
Denmark,Portugal,2,1,2024-11-10,0,0.8
Senegal,Denmark,0,0,2024-11-10,0,0.8
Morocco,Switzerland,2,2,2024-11-10,0,0.8
Mexico,Netherlands,1,3,2024-11-11,0,0.8
France,South Korea,3,0,2024-11-11,0,0.8
Croatia,England,0,3,2024-11-11,0,0.8
USA,Australia,2,3,2024-11-11,0,0.8
Australia,Mexico,0,2,2024-11-12,0,0.8
Poland,Croatia,0,3,2024-11-12,1,1.0
Argentina,Belgium,1,2,2024-11-12,0,0.8
Poland,USA,2,2,2024-11-12,0,0.8
Australia,USA,3,1,2024-11-12,1,1.0
Senegal,Spain,2,3,2024-11-13,1,1.0
Morocco,Canada,3,2,2024-11-13,0,0.8
Portugal,Switzerland,4,2,2024-11-13,0,0.8
Brazil,Germany,4,0,2024-11-13,0,0.8
Senegal,England,1,4,2024-11-13,0,0.8
Croatia,Australia,1,2,2024-11-13,0,0.8
France,Senegal,3,2,2024-11-15,0,0.8
Mexico,Senegal,0,1,2024-11-15,1,1.0
Argentina,Morocco,0,0,2024-11-15,1,1.0
South Korea,Belgium,0,1,2024-11-15,0,0.8
Belgium,South Korea,2,0,2024-11-15,0,0.8
Ghana,Mexico,1,0,2024-11-16,1,1.0
France,South Korea,6,1,2024-11-16,0,0.8
Morocco,Australia,0,0,2024-11-16,1,1.0
Spain,Ghana,1,0,2024-11-16,0,0.8
South Korea,Brazil,1,0,2024-11-16,1,1.0
Spain,Switzerland,2,0,2024-11-16,0,0.8
Japan,USA,1,0,2024-11-16,1,1.0
Canada,Germany,1,2,2024-11-16,0,0.8
Mexico,Australia,0,2,2024-11-17,0,0.8
Mexico,Australia,1,1,2024-11-17,1,1.0
Japan,Germany,1,1,2024-11-17,0,0.8
Italy,Australia,3,0,2024-11-17,0,0.8
Portugal,Denmark,0,1,2024-11-17,0,0.8
Japan,Germany,1,1,2024-11-17,0,0.8
Senegal,Netherlands,0,2,2024-11-17,0,0.8
Netherlands,South Korea,2,0,2024-11-17,0,0.8
Portugal,South Korea,1,2,2024-11-17,0,0.8
Ghana,England,0,1,2024-11-18,0,0.8
Argentina,Switzerland,5,1,2024-11-18,0,0.8
Poland,Senegal,0,4,2024-11-19,0,0.8
Netherlands,Australia,1,1,2024-11-19,0,0.8
Spain,Ghana,3,0,2024-11-19,0,0.8
South Korea,USA,1,3,2024-11-19,0,0.8
Switzerland,Japan,2,1,2024-11-20,0,0.8
England,Argentina,3,1,2024-11-20,0,0.8
Poland,Morocco,1,1,2024-11-20,0,0.8
Senegal,Spain,1,0,2024-11-20,0,0.8
Spain,Senegal,4,0,2024-11-20,0,0.8
Netherlands,Ghana,3,0,2024-11-20,1,1.0
Poland,Netherlands,0,0,2024-11-21,1,1.0
Spain,Canada,4,1,2024-11-21,0,0.8
Senegal,South Korea,1,0,2024-11-21,0,0.8
Croatia,Australia,0,1,2024-11-21,1,1.0
Morocco,Ghana,1,0,2024-11-21,1,1.0
Japan,Mexico,2,0,2024-11-21,1,1.0
USA,Argentina,1,1,2024-11-22,0,0.8
Mexico,USA,1,0,2024-11-22,0,0.8
Canada,Australia,2,1,2024-11-22,0,0.8
South Korea,Canada,2,0,2024-11-22,0,0.8
Italy,Netherlands,3,0,2024-11-22,0,0.8
Italy,South Korea,1,0,2024-11-23,1,1.0
Italy,Netherlands,2,2,2024-11-23,0,0.8
Brazil,Canada,4,0,2024-11-23,0,0.8
Italy,Denmark,0,0,2024-11-24,1,1.0
Uruguay,Portugal,0,0,2024-11-24,1,1.0
Italy,Spain,2,0,2024-11-24,0,0.8
Italy,Poland,2,0,2024-11-24,0,0.8
Germany,Uruguay,1,1,2024-11-25,0,0.8
Mexico,Switzerland,1,2,2024-11-25,1,1.0
Poland,England,1,3,2024-11-25,1,1.0
USA,Portugal,3,1,2024-11-26,0,0.8
Canada,Brazil,1,1,2024-11-26,0,0.8
France,South Korea,2,1,2024-11-26,0,0.8
Italy,Australia,1,1,2024-11-26,0,0.8
Brazil,Ghana,4,1,2024-11-27,1,1.0
Denmark,Brazil,0,0,2024-11-27,1,1.0
Belgium,Australia,1,0,2024-11-27,0,0.8
Poland,South Korea,1,2,2024-11-27,0,0.8
Brazil,Croatia,1,1,2024-11-27,0,0.8
Germany,Portugal,2,0,2024-11-28,1,1.0
Mexico,Belgium,3,1,2024-11-28,0,0.8
Canada,Ghana,3,0,2024-11-29,0,0.8
Denmark,Brazil,2,2,2024-11-29,0,0.8
Australia,Denmark,0,0,2024-11-29,1,1.0
Germany,Ghana,0,3,2024-11-29,1,1.0
Uruguay,England,1,0,2024-11-29,0,0.8
Germany,Netherlands,1,1,2024-11-29,0,0.8
Japan,Netherlands,0,1,2024-11-30,0,0.8
Senegal,USA,2,2,2024-11-30,0,0.8
Ghana,Switzerland,1,1,2024-11-30,0,0.8
Switzerland,Mexico,3,1,2024-11-30,0,0.8
Croatia,Brazil,1,3,2024-11-30,0,0.8
Denmark,Germany,1,2,2024-11-30,0,0.8
Switzerland,Netherlands,0,2,2024-12-01,0,0.8
Canada,Belgium,2,2,2024-12-02,0,0.8
Belgium,Mexico,0,0,2024-12-02,1,1.0
Mexico,Netherlands,2,2,2024-12-02,0,0.8
Australia,Poland,1,0,2024-12-02,0,0.8
Morocco,Netherlands,1,0,2024-12-03,0,0.8
Canada,Switzerland,1,1,2024-12-03,0,0.8
Uruguay,Italy,0,1,2024-12-03,0,0.8
Belgium,Brazil,0,3,2024-12-03,0,0.8
Mexico,Denmark,0,1,2024-12-03,1,1.0
Mexico,France,1,2,2024-12-03,0,0.8
Senegal,Poland,0,1,2024-12-03,1,1.0
Japan,Italy,0,2,2024-12-04,1,1.0
Morocco,Belgium,2,0,2024-12-04,0,0.8
Switzerland,South Korea,1,0,2024-12-04,1,1.0
Poland,Spain,0,1,2024-12-05,0,0.8
Spain,Australia,3,0,2024-12-05,0,0.8
South Korea,France,2,2,2024-12-05,0,0.8
Belgium,Morocco,1,0,2024-12-05,1,1.0
Ghana,Mexico,2,0,2024-12-05,1,1.0
Uruguay,South Korea,1,3,2024-12-05,0,0.8
Germany,Morocco,1,1,2024-12-05,0,0.8
Croatia,Australia,1,1,2024-12-05,0,0.8
Netherlands,Belgium,0,0,2024-12-05,0,0.8
Australia,Ghana,0,0,2024-12-06,0,0.8
England,Mexico,1,0,2024-12-06,0,0.8
Portugal,Canada,7,0,2024-12-06,0,0.8
Morocco,Belgium,0,0,2024-12-06,0,0.8
Croatia,Switzerland,2,1,2024-12-06,0,0.8
Argentina,Canada,5,1,2024-12-06,0,0.8
Canada,Japan,0,2,2024-12-06,1,1.0
Ghana,England,2,3,2024-12-06,0,0.8
Uruguay,South Korea,2,0,2024-12-07,1,1.0
Portugal,Denmark,3,0,2024-12-07,1,1.0
Belgium,France,1,2,2024-12-07,1,1.0
USA,Croatia,2,3,2024-12-07,0,0.8
South Korea,Germany,0,0,2024-12-07,1,1.0
Mexico,USA,2,3,2024-12-08,1,1.0
USA,Portugal,2,3,2024-12-08,0,0.8
Portugal,Croatia,1,1,2024-12-08,0,0.8
Germany,Denmark,1,1,2024-12-09,0,0.8
USA,Japan,1,1,2024-12-09,0,0.8
Brazil,Belgium,0,0,2024-12-09,0,0.8
Poland,Australia,1,1,2024-12-09,0,0.8
Canada,England,1,3,2024-12-09,1,1.0
Denmark,Australia,0,2,2024-12-09,0,0.8
Canada,Japan,1,3,2024-12-09,0,0.8
Argentina,Belgium,1,0,2024-12-09,1,1.0
Poland,France,0,1,2024-12-09,1,1.0
Denmark,Poland,2,1,2024-12-10,1,1.0
Croatia,Poland,1,0,2024-12-10,1,1.0
Croatia,Uruguay,1,1,2024-12-10,0,0.8
Belgium,Denmark,3,5,2024-12-11,0,0.8
Spain,Japan,2,3,2024-12-11,0,0.8
South Korea,Brazil,0,2,2024-12-11,1,1.0
Poland,Germany,2,3,2024-12-11,0,0.8
Mexico,Ghana,2,1,2024-12-11,1,1.0
South Korea,Senegal,2,0,2024-12-12,0,0.8
Croatia,Argentina,1,3,2024-12-12,0,0.8
Spain,Portugal,1,0,2024-12-12,0,0.8
France,Argentina,0,0,2024-12-12,1,1.0
Argentina,Australia,6,2,2024-12-12,0,0.8
Switzerland,Canada,3,0,2024-12-13,1,1.0
Spain,Belgium,0,1,2024-12-13,1,1.0
Ghana,Spain,1,2,2024-12-13,0,0.8
Australia,Japan,0,2,2024-12-14,1,1.0
Uruguay,Canada,2,1,2024-12-14,0,0.8
Belgium,Ghana,3,0,2024-12-14,0,0.8
Croatia,Denmark,1,0,2024-12-14,0,0.8
Morocco,Belgium,2,1,2024-12-14,0,0.8
Switzerland,Canada,2,0,2024-12-15,1,1.0
Canada,England,1,0,2024-12-15,0,0.8
Senegal,Brazil,0,3,2024-12-15,1,1.0
Croatia,Ghana,1,1,2024-12-15,0,0.8
Poland,England,2,1,2024-12-16,0,0.8
Morocco,Netherlands,2,1,2024-12-16,1,1.0
Canada,USA,3,5,2024-12-16,1,1.0
Morocco,Netherlands,2,2,2024-12-17,0,0.8
Australia,Morocco,1,0,2024-12-17,0,0.8
Argentina,Uruguay,1,0,2024-12-17,1,1.0
Uruguay,Mexico,1,1,2024-12-17,1,1.0
Morocco,Senegal,3,2,2024-12-18,0,0.8
Ghana,Mexico,2,2,2024-12-18,0,0.8
Argentina,South Korea,3,1,2024-12-18,0,0.8
Argentina,Spain,1,1,2024-12-18,0,0.8
Morocco,South Korea,2,1,2024-12-19,0,0.8
Brazil,USA,4,2,2024-12-19,0,0.8
Argentina,Morocco,2,2,2024-12-19,1,1.0
Uruguay,Morocco,1,0,2024-12-19,0,0.8
Spain,Uruguay,1,1,2024-12-19,1,1.0
Italy,South Korea,0,0,2024-12-19,0,0.8
Denmark,Spain,1,2,2024-12-19,0,0.8
Spain,Japan,1,0,2024-12-19,0,0.8
England,Belgium,2,3,2024-12-19,0,0.8
Germany,Ghana,2,1,2024-12-19,0,0.8
